Name,Price,Image
Scalibor Collar Antiparasitario 48 cm,17.99 €,https://img1.petsonic.com/11844-large_default/scalibor-48-cm-collar-antiparasitario-para-perros.jpg
Scalibor Collar Antiparasitario 65 cm,19.99 €,https://img2.petsonic.com/11845-large_default/scalibor-65-cm-collar-antiparasitario-para-perros.jpg
Bayer Seresto Collar Antiparasitario - 38 cm,24.99 €/u,https://img1.petsonic.com/15301-large_default/bayer-seresto-collar-antiparasitario-para-perros.jpg
Bayer Seresto Collar Antiparasitario - 70 cm,26.99 €/u,https://img1.petsonic.com/15301-large_default/bayer-seresto-collar-antiparasitario-para-perros.jpg
virbac Preventef Collar Antiparasitario para Perro - Pequeño/Mediano,8.49 €/u,https://img1.petsonic.com/14171-large_default/virbac-preventef-collar-antiparasitario-para-perros.jpg
virbac Preventef Collar Antiparasitario para Perro - Grande,8.99 €/u,https://img1.petsonic.com/14171-large_default/virbac-preventef-collar-antiparasitario-para-perros.jpg
Taber Collar Permetrina Antiparasitario - 40 cm,13.99 €/u,https://img3.petsonic.com/14172-large_default/taber-collar-permetrina-antiparasitario-para-perros.jpg
Taber Collar Permetrina Antiparasitario - 60 cm,13.99 €/u,https://img3.petsonic.com/14172-large_default/taber-collar-permetrina-antiparasitario-para-perros.jpg
Taber Collar Permetrina Antiparasitario - 75 cm,15.39 €/u,https://img3.petsonic.com/14172-large_default/taber-collar-permetrina-antiparasitario-para-perros.jpg
Ecuphar Kiltix Collar Antiparasitario - Perros de 3 a 10Kg,13.77 €/u,https://img2.petsonic.com/18198-large_default/bayer-kiltix-collar-antiparasitario-para-perros.jpg
Ecuphar Kiltix Collar Antiparasitario - Perros de 11 a 20Kg,15.39 €/u,https://img2.petsonic.com/18198-large_default/bayer-kiltix-collar-antiparasitario-para-perros.jpg
Ecuphar Kiltix Collar Antiparasitario - Perros de + 20Kg,15.99 €/u,https://img2.petsonic.com/18198-large_default/bayer-kiltix-collar-antiparasitario-para-perros.jpg
Bayer Bolfo Collar Antiparasito Perro - 35 cm,16.62 €/u,https://img3.petsonic.com/14175-large_default/bayer-bolfo-collar-antiparsito-para-perros.jpg
Bayer Bolfo Collar Antiparasito Perro - 70 cm,17.91 €/u,https://img3.petsonic.com/14175-large_default/bayer-bolfo-collar-antiparsito-para-perros.jpg
